Date,PNL%
2019-12-12,-1.0770755645589187
2020-02-26,14.99724846456961
2020-07-16,-4.788806310090221
2020-12-21,0.07890072112423352
2021-01-25,-6.985405494632681
2021-03-03,-1.1667445977665458
2021-03-19,-2.5605546921123157
2021-04-27,-4.638831930957394
2021-06-29,-2.5383445360003365
2021-09-28,-4.6322365066935385
2022-09-27,-9.239541137968805
2022-12-23,0.2926237712028205
2023-01-25,-8.255875829067708
2023-03-16,-3.9224383082424557
2023-04-21,-9.978906442713154
2023-06-23,-2.2171563579981877
2023-10-31,-3.7655327482751666
2023-11-20,-0.9258994385000437
2024-01-05,-2.502790510260296
