Date,PNL%
2020-01-28,-0.8322728568431893
2020-05-12,-4.377345458947489
2020-06-19,1.3541456094041515
2020-06-24,-3.773146776926084
2020-07-06,-0.6574878353022997
2020-08-31,3.5481132953834362
2020-10-23,-1.3735235083644455
2020-11-10,-6.014152192191938
2021-01-29,6.088638976476425
2021-02-23,-6.6945871515898245
2021-05-06,-5.7299711606610995
2021-07-20,2.5664460094608317
2021-09-20,-1.6666763882218942
2022-02-22,0.4730051818510684
2022-04-05,3.485136430857933
2022-09-02,-0.5094080945809387
2022-11-15,5.711986005330793
2023-09-05,25.11251305967539
2023-09-22,-5.0748436673426305
2023-11-30,-2.371648976998188
2024-03-21,16.240062137048238
2024-04-10,-2.7009471311034114
