Date,PNL%
2020-01-28,-10.818453931505486
2020-10-12,-9.897760804751577
2021-01-27,-0.30588748124652176
2021-04-22,21.70874498630727
2021-05-31,12.4231390085081
2021-06-17,-4.618464178975564
2021-08-25,-3.9092423999786603
2021-09-29,-2.2746292796223684
2021-11-03,-2.7547538004941563
2022-01-11,1.7273181837877076
2022-01-14,-1.030313986830879
2022-04-27,12.572695023291447
2022-09-29,-0.9725546844217803
2022-10-31,-4.163823707607165
2022-12-23,-6.1248013747264975
2023-02-13,3.67171377063783
2023-07-05,-0.3591403449157806
2023-07-28,-1.7791091355232942
2024-02-22,9.109767855525096
2024-03-20,-5.239876432890196
