Date,PNL%
2020-03-03,-5.184997705908087
2020-08-21,29.635176922498836
2020-11-02,8.192575992141027
2021-01-29,10.21617249515467
2021-02-25,-1.3849567414971908
2021-04-26,-2.1876637689293346
2021-07-20,9.703107748195482
2021-09-07,6.406253441705764
2021-10-07,-2.958303077176047
2021-11-03,-5.738389514350037
2021-12-01,-4.042755867002014
2022-01-19,6.557663614428369
2022-01-24,-4.765031468634153
2022-04-05,-1.3934589604879783
2022-12-14,-4.688915674561681
2023-02-23,-4.100193563576599
2023-08-01,0.7007452853854631
2023-09-29,1.1949256160732538
2024-01-10,3.7934984669359046
2024-02-26,1.7529331673632915
